title,artist,old_low,old_high,new_low,new_high,source_url
I Cross My Heart,George Strait,A2,D4,A#2,F4,https://singingcarrots.com/artist-range?artist=George%20Strait
"Love Without End, Amen",George Strait,G2,C4,A2,C#4,https://singingcarrots.com/artist-range?artist=George%20Strait
All My Ex's Live in Texas,George Strait,G2,C4,A#2,A4,https://singingcarrots.com/artist-range?artist=George%20Strait
The Chair,George Strait,G2,C4,A2,G4,https://singingcarrots.com/artist-range?artist=George%20Strait
Wichita Lineman,Glen Campbell,G2,C4,C3,D4,https://singingcarrots.com/artist-range?artist=Glen%20Campbell
Gentle on My Mind,Glen Campbell,G2,C4,C3,A3,https://singingcarrots.com/artist-range?artist=Glen%20Campbell
Rhinestone Cowboy,Glen Campbell,G2,C4,G2,G4,https://singingcarrots.com/artist-range?artist=Glen%20Campbell
Southern Nights,Glen Campbell,G2,C4,D3,F4,https://singingcarrots.com/artist-range?artist=Glen%20Campbell
By the Time I Get to Phoenix,Glen Campbell,G2,C4,E3,D4,https://singingcarrots.com/artist-range?artist=Glen%20Campbell
Iris,Goo Goo Dolls,G2,F4,D3,A4,https://singingcarrots.com/artist-range?artist=Goo%20Goo%20Dolls
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,G2,C4,E2,B5,https://singingcarrots.com/artist-range?artist=Gordon%20Lightfoot
Early Morning Rain,Gordon Lightfoot,G2,C4,A2,A3,https://singingcarrots.com/artist-range?artist=Gordon%20Lightfoot
If You Could Read My Mind,Gordon Lightfoot,G2,C4,G2,B3,https://singingcarrots.com/artist-range?artist=Gordon%20Lightfoot
Ripple,Grateful Dead,G2,C4,B2,C4,https://singingcarrots.com/artist-range?artist=Grateful%20Dead
Uncle John's Band,Grateful Dead,G2,C4,B2,E4,https://singingcarrots.com/artist-range?artist=Grateful%20Dead
November Rain,Guns N' Roses,G2,G4,D3,D#5,https://singingcarrots.com/artist-range?artist=Guns%20N%27%20Roses
Patience,Guns N' Roses,G2,D4,A2,E5,https://singingcarrots.com/artist-range?artist=Guns%20N%27%20Roses
Sit Down You're Rockin' the Boat,Guys and Dolls,C3,D4,C4,D5,https://singingcarrots.com/artist-range?artist=Guys%20and%20Dolls
Guys and Dolls,Guys and Dolls,C3,D4,B3,D5,https://singingcarrots.com/artist-range?artist=Guys%20and%20Dolls
Luck Be a Lady,Guys and Dolls,G2,F4,B3,C5,https://singingcarrots.com/artist-range?artist=Guys%20and%20Dolls
Your Cheatin' Heart,Hank Williams,G2,C4,B2,D4,https://singingcarrots.com/artist-range?artist=Hank%20Williams
Jambalaya (On the Bayou),Hank Williams,G2,C4,C3,E4,https://singingcarrots.com/artist-range?artist=Hank%20Williams
Hey Good Lookin',Hank Williams,G2,C4,E3,D4,https://singingcarrots.com/artist-range?artist=Hank%20Williams
Cat's in the Cradle,Harry Chapin,G2,C4,C3,C4,https://singingcarrots.com/artist-range?artist=Harry%20Chapin
